,CVEno,pubdate,CVSS,category,SLA,jobtype,team1,team2,team3,totaltime
0,1,2017-01-10 21:59:00,8.8,high,7,concurrent,5,0,3,8
1,2,2017-01-10 21:59:00,7.8,high,7,concurrent,2,1,2,5
2,3,2017-01-10 21:59:00,7.5,high,7,concurrent,2,0,1,3
3,4,2017-03-17 00:59:00,7.0,high,7,concurrent,5,2,2,9
4,5,2017-03-17 00:59:00,7.8,high,7,concurrent,1,5,1,7
5,6,2017-03-17 00:59:00,5.5,medium,14,concurrent,3,7,2,12
6,7,2017-03-17 00:59:00,4.3,medium,14,concurrent,0,1,1,2
7,8,2017-03-17 00:59:00,4.3,medium,14,concurrent,2,6,2,10
8,9,2017-03-17 00:59:00,7.5,high,7,concurrent,4,6,0,10
9,10,2017-03-17 00:59:00,4.3,medium,14,concurrent,5,4,0,9
10,11,2017-03-17 00:59:00,4.3,medium,14,concurrent,5,3,3,11
11,12,2017-03-17 00:59:00,7.5,high,7,concurrent,3,5,3,11
12,13,2017-03-17 00:59:00,7.5,high,7,concurrent,3,0,1,4
13,14,2017-03-17 00:59:00,5.9,medium,14,concurrent,4,6,2,12
14,15,2017-03-17 00:59:00,6.1,medium,14,concurrent,1,4,1,6
15,16,2017-03-17 00:59:00,7.5,high,7,concurrent,5,5,2,12
16,17,2017-03-17 00:59:00,7.8,high,7,concurrent,4,6,3,13
17,18,2017-03-17 00:59:00,7.8,high,7,concurrent,1,1,0,2
18,19,2017-03-17 00:59:00,9.0,critical,3,concurrent,1,5,1,7
19,20,2017-03-17 00:59:00,4.3,medium,14,concurrent,5,6,2,13
20,21,2017-03-17 00:59:00,7.5,high,7,concurrent,1,2,2,5
21,22,2017-03-17 00:59:00,7.8,high,7,concurrent,3,0,0,3
22,23,2017-03-17 00:59:00,7.8,high,7,concurrent,3,7,0,10
23,24,2017-03-17 00:59:00,7.8,high,7,sequential,5,3,2,10
24,25,2017-03-17 00:59:00,4.7,medium,14,concurrent,1,4,1,6
25,26,2017-07-17 13:18:00,9.8,critical,3,concurrent,1,3,0,4
26,27,2017-03-17 00:59:00,5.5,medium,14,sequential,2,5,0,7
27,28,2017-03-17 00:59:00,7.8,high,7,concurrent,1,5,1,7
28,29,2017-03-17 00:59:00,7.8,high,7,concurrent,4,1,2,7
29,30,2017-03-17 00:59:00,7.5,high,7,concurrent,5,2,3,10
30,31,2017-03-17 00:59:00,4.3,medium,14,concurrent,2,5,1,8
