,Task ID,Analysts Working
,,Team1, Team2, Team3
Day 1
,216,An_d1w_2160_T1,An_d1w_2160_T2,An_d1w_2160_T3
,429,An_d1w_4290_T1,An_d1w_4290_T2,An_d1w_4290_T3
,888,An_d1w_8882_T1 | An_d1w_8881_T1 | An_d1w_8880_T1,--Done--,--Done--
,932,An_d1w_9322_T1 | An_d1w_9321_T1 | An_d1w_9320_T1,--Done--,--Done--
,1003,An_d1w_10030_T1,An_d1w_10030_T2,An_d1w_10030_T3
,1022,An_d1w_10220_T1,An_d1w_10220_T2,An_d1w_10220_T3
,1290,An_d1w_12900_T1,An_d1w_12900_T2,An_d1w_12900_T3
,1595,An_d1w_15950_T1,An_d1w_15950_T2,An_d1w_15950_T3
,1721,An_d1w_17210_T1,An_d1w_17210_T2,An_d1w_17210_T3
,1722,An_d1w_17220_T1,--Done--,--Done--
,2007,--Done--,An_d1w_20070_T2,An_d1w_20070_T3
,2018,--Done--,An_d1w_20180_T2,An_d1w_20180_T3
,2089,--Done--,--Done--,An_d1w_20890_T3
,2137,An_d1w_21370_T1,An_d1w_21370_T2,An_d1w_21370_T3
,2268,An_d1w_22680_T1,An_d1w_22680_T2,An_d1w_22680_T3
,2447,An_d1w_24470_T1,An_d1w_24470_T2,An_d1w_24470_T3
,2646,An_d1w_26460_T1,An_d1w_26460_T2,An_d1w_26460_T3
,2665,--Done--,--Done--,An_d1w_26650_T3
,2674,An_d1w_26740_T1,An_d1w_26740_T2,--Done--
,2696,An_d1w_26960_T1,An_d1w_26960_T2,--Done--
,3358,An_d1w_33580_T1,An_d1w_33580_T2,An_d1w_33580_T3
,3392,An_d1w_33920_T1,An_d1w_33920_T2,An_d1w_33920_T3
,3533,An_d1w_35330_T1,An_d1w_35330_T2,--Done--
,3705,An_d1w_37053_T1 | An_d1w_37052_T1 | An_d1w_37051_T1 | An_d1w_37050_T1,--Done--,--Done--
,3985,An_d1w_39850_T1,An_d1w_39850_T2,An_d1w_39850_T3
,4114,An_d1w_41140_T1,An_d1w_41140_T2,An_d1w_41140_T3
,4138,An_d1w_41380_T1,An_d1w_41380_T2,--Done--
,4204,An_d1w_42040_T1,--Done--,--Done--
,4521,An_d1w_45210_T1,An_d1w_45210_T2,An_d1w_45210_T3
,4699,An_d1w_46990_T1,An_d1w_46990_T2,An_d1w_46990_T3
,5140,An_d1w_51400_T1,An_d1w_51400_T2,An_d1w_51400_T3
,5275,An_d1w_52750_T1,An_d1w_52750_T2,An_d1w_52750_T3
,5323,An_d1w_53230_T1,An_d1w_53230_T2,An_d1w_53230_T3
,5364,An_d1w_53640_T1,An_d1w_53640_T2,--Done--
,6094,An_d1w_60940_T1,An_d1w_60940_T2,An_d1w_60940_T3
,6121,An_d1w_61210_T1,An_d1w_61210_T2,An_d1w_61210_T3
,6279,An_d1w_62790_T1,--Done--,--Done--
,6592,An_d1w_65920_T1,An_d1w_65920_T2,An_d1w_65920_T3
,6659,An_d1w_66590_T1,An_d1w_66590_T2,An_d1w_66590_T3
,6863,An_d1w_68630_T1,An_d1w_68630_T2,An_d1w_68630_T3
,7006,An_d1w_70060_T1,An_d1w_70060_T2,An_d1w_70060_T3
,7842,An_d1w_78420_T1,--Done--,An_d1w_78420_T3
,8186,An_d1w_81860_T1,An_d1w_81860_T2,An_d1w_81860_T3
,8208,An_d1w_82080_T1,An_d1w_82080_T2,--Done--
,8440,--Done--,An_d1w_84400_T2,--Done--
,8458,An_d1w_84580_T1,An_d1w_84580_T2,An_d1w_84580_T3
,8567,An_d1w_85670_T1,An_d1w_85670_T2,An_d1w_85670_T3
,8912,An_d1w_89120_T1,An_d1w_89120_T2,--Done--
,9104,An_d1w_91041_T1 | An_d1w_91040_T1,An_d1w_91041_T2 | An_d1w_91040_T2,An_d1w_91040_T3
,9149,An_d1w_91490_T1,An_d1w_91490_T2,An_d1w_91490_T3
,9214,An_d1w_92140_T1,An_d1w_92140_T2,--Done--
,9248,An_d1w_92480_T1,An_d1w_92480_T2,An_d1w_92480_T3
,9359,An_d1w_93590_T1,An_d1w_93590_T2,An_d1w_93590_T3
,9379,--Done--,An_d1w_93790_T2,An_d1w_93790_T3
,9544,--Done--,An_d1w_95440_T2,An_d1w_95440_T3
,10845,--Done--,An_d1w_108450_T2,An_d1w_108450_T3
,11009,An_d1w_110090_T1,An_d1w_110090_T2,An_d1w_110090_T3
,11052,An_d1w_110521_T1 | An_d1w_110520_T1,An_d1w_110520_T2,An_d1w_110520_T3
,11289,An_d1w_112890_T1,An_d1w_112890_T2,An_d1w_112890_T3
,11453,--Done--,An_d1w_114532_T2 | An_d1w_114531_T2 | An_d1w_114530_T2,An_d1w_114530_T3
,11715,An_d1w_117150_T1,An_d1w_117152_T2 | An_d1w_117151_T2 | An_d1w_117150_T2,An_d1w_117150_T3
,11944,An_d1w_119440_T1,An_d1w_119440_T2,An_d1w_119440_T3
,12211,An_d1w_122110_T1,An_d1w_122110_T2,An_d1w_122110_T3
,12496,An_d1w_124960_T1,--Done--,--Done--
,12539,An_d1w_125391_T1 | An_d1w_125390_T1,An_d1w_125391_T2 | An_d1w_125390_T2,An_d1w_125390_T3
,13122,An_d1w_131220_T1,--Done--,An_d1w_131220_T3
,13137,An_d1w_131370_T1,An_d1w_131370_T2,An_d1w_131370_T3
,14095,An_d1w_140950_T1,An_d1w_140950_T2,--Done--
,14126,An_d1w_141260_T1,An_d1w_141260_T2,An_d1w_141260_T3
,14214,An_d1w_142140_T1,--Done--,An_d1w_142140_T3
,14434,An_d1w_144340_T1,An_d1w_144340_T2,--Done--
,14674,An_d1w_146740_T1,--Done--,An_d1w_146740_T3
,14899,An_d1w_148991_T1 | An_d1w_148990_T1,An_d1w_148991_T2 | An_d1w_148990_T2,An_d1w_148990_T3

Day 2
,216,An_d1w_2160_T1,An_d1w_2160_T2,An_d1w_2160_T3
,429,An_d1w_4290_T1,An_d1w_4290_T2,An_d1w_4290_T3
,888,--Done--,An_d1w_81860_T2 | An_d1w_68630_T2 | An_d1w_33580_T2 | An_d1w_12900_T2,--Done--
,932,An_d1w_9322_T1,--Done--,--Done--
,1003,An_d1w_10030_T1,An_d1w_10030_T2,An_d1w_10030_T3
,1022,An_d1w_10220_T1,An_d1w_10220_T2,An_d1w_10220_T3
,1290,An_d1w_12900_T1,--Done--,An_d1w_12900_T3
,1595,An_d1w_15950_T1,An_d1w_15950_T2,--Done--
,1721,An_d1w_17210_T1,An_d1w_17210_T2,--Done--
,2007,--Done--,An_d1w_20070_T2,An_d1w_20070_T3
,2018,--Done--,An_d1w_20180_T2,--Done--
,2137,An_d1w_21370_T1,An_d1w_21370_T2,An_d1w_21370_T3
,2268,An_d1w_22680_T1,An_d1w_22680_T2,An_d1w_22680_T3
,2447,An_d1w_24470_T1,An_d1w_24470_T2,--Done--
,2646,An_d1w_26460_T1,An_d1w_26460_T2,An_d1w_26460_T3
,2665,--Done--,--Done--,An_d1w_26650_T3
,2674,--Done--,An_d1w_26740_T2,--Done--
,2696,An_d1w_26960_T1,An_d1w_26960_T2,--Done--
,3358,An_d1w_33580_T1,--Done--,An_d1w_33580_T3
,3392,An_d1w_33920_T1,An_d1w_33920_T2,--Done--
,3533,An_d1w_35330_T1,An_d1w_35330_T2,--Done--
,3705,--Done--,An_d1w_91490_T2 | An_d1w_84580_T2,--Done--
,3985,--Done--,An_d1w_39850_T2,--Done--
,4114,An_d1w_41140_T1,An_d1w_41140_T2,An_d1w_41140_T3
,4138,An_d1w_41380_T1,An_d1w_41380_T2,--Done--
,4204,An_d1w_42040_T1,--Done--,--Done--
,4521,An_d1w_45210_T1,An_d1w_45210_T2,An_d1w_45210_T3
,4699,An_d1w_46990_T1,An_d1w_46990_T2,An_d1w_46990_T3
,5140,--Done--,An_d1w_51400_T2,An_d1w_51400_T3
,5275,An_d1w_52750_T1,An_d1w_52750_T2,An_d1w_52750_T3
,5323,An_d1w_53230_T1,An_d1w_53230_T2,An_d1w_53230_T3
